municipio_id,uf_codigo,periodo_censo,periodo_corrente,rdpc_censo_municipio_reais_mes,rdpc_censo_uf_reais_mes,rdpc_pnad_uf_reais_mes,populacao_estimada_pessoas,rdpc_est_reais_mes,massa_renda_reais_mes
1506708,15,2022,2025,1137.95,994.0,1472.0,30455.0,1685.1734406438632,51321957.13480885
1506807,15,2022,2025,1024.3,994.0,1472.0,360871.0,1516.8708249496983,547394691.4704226
1506906,15,2022,2025,743.73,994.0,1472.0,6355.0,1101.378832997988,6999262.4837022135
1507003,15,2022,2025,697.67,994.0,1472.0,29234.0,1033.1692555331992,30203670.016257547
1507102,15,2022,2025,611.22,994.0,1472.0,17258.0,905.1467203219318,15621022.099315898
1507151,15,2022,2025,922.63,994.0,1472.0,21555.0,1366.3092152917504,29450795.13561368
1507201,15,2022,2025,520.37,994.0,1472.0,32554.0,770.6082897384307,25086382.26414487
1507300,15,2022,2025,980.71,994.0,1472.0,64651.0,1452.3190342052314,93893877.88040242
1507409,15,2022,2025,681.98,994.0,1472.0,15429.0,1009.9341649899397,15582274.23162978
1507458,15,2022,2025,852.58,994.0,1472.0,24929.0,1262.5731991951711,31474687.28273642
1507466,15,2022,2025,566.06,994.0,1472.0,4470.0,838.2699396378268,3747066.630181086
1507474,15,2022,2025,624.11,994.0,1472.0,21477.0,924.2353319919517,19849802.225191146
1507508,15,2022,2025,684.94,994.0,1472.0,14293.0,1014.3175855130786,14497641.249738432
1507607,15,2022,2025,739.47,994.0,1472.0,55970.0,1095.0702615694165,61291082.54004024
1507706,15,2022,2025,541.45,994.0,1472.0,27651.0,801.825352112676,22171272.811267603
1507755,15,2022,2025,780.97,994.0,1472.0,6212.0,1156.5270020120724,7184345.736498994
1507805,15,2022,2025,627.7,994.0,1472.0,24989.0,929.5517102615695,23228567.68772636
1507904,15,2022,2025,728.05,994.0,1472.0,25315.0,1078.158551307847,27293583.726358145
1507953,15,2022,2025,829.7,994.0,1472.0,75290.0,1228.6905432595574,92508111.00201207
1507961,15,2022,2025,729.04,994.0,1472.0,10837.0,1079.6246277665996,11699892.09110664
1507979,15,2022,2025,692.2,994.0,1472.0,19792.0,1025.0688128772638,20288161.944466803
1508001,15,2022,2025,710.04,994.0,1472.0,73058.0,1051.4878068410462,76819596.19219315
